phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0222.8: Non faict dist il, c'est une goutte,",DC0222: Margot s'endormit sur un lict,30,Ct,Displaced,D,31,T,Authentic,F+A,F,Authentic+Phrygian,Plagal,F
DC0222.7: Robin ta chandelle se fond,DC0222: Margot s'endormit sur un lict,27,S,None,F,27,T,Authentic,F,A+D,Authentic,Phrygian+Authentic,F
"DC0222.6: Mist sa chandelle au plus perfond,",DC0222: Margot s'endormit sur un lict,22,S,None,C,22,T,Authentic,D+C,F,Plagal+Authentic,Authentic,F
"DC0222.5: Il trouva sa lanterne ouverte,",DC0222: Margot s'endormit sur un lict,19,None,None,D,19,None,Plagal,F+D,C+C,Authentic+Plagal,Authentic+Authentic,F
"DC0222.4: Sur le lit, et la recouverte:",DC0222: Margot s'endormit sur un lict,16,S,None,F,16,T,Authentic,F+F,D+D,Authentic+CadInCad,Plagal+Plagal,F
"DC0222.2: Une nuit toute descouverte,",DC0222: Margot s'endormit sur un lict,7,Ct,Displaced,F,8,T,Authentic,F,F,Authentic,Authentic,F
DC0222.1: Margot s'endormit sur un lict,DC0222: Margot s'endormit sur un lict,4,Ct,Incomplete,F,5,None,Authentic,None,F,None,Authentic,F
DC0221.8: Ton long tarder par trop mon mal empire.,DC0221: Qu'est-il besoing cercher toutes les nuictz,34,T,Incomplete,F,36,None,CadInCad,C,None,Authentic,None,F
"DC0221.7: Sans du remede aultrement le pourvoir,",DC0221: Qu'est-il besoing cercher toutes les nuictz,30,S,None,C,30,T,Authentic,C+C+C,F+F,Authentic+Authentic+Authentic,CadInCad+Authentic,F
"DC0221.6: Un coeur souffrir pour toy si grand martyre,",DC0221: Qu'est-il besoing cercher toutes les nuictz,25,Ct,"Displaced, Incomplete",C,26,T,Authentic,G,C+C,Authentic,Authentic+Authentic,F
"DC0221.5: Est il possible helas, que puisse voir,",DC0221: Qu'est-il besoing cercher toutes les nuictz,20,S,"Incomplete, Evaded",G,21,None,Authentic,F+F+G,C+C,Authentic+Authentic+Authentic,Authentic+Authentic,F
"DC0221.2: Ce que l'on veult, et l'on ne peult avoir,",DC0221: Qu'est-il besoing cercher toutes les nuictz,13,S,None,F,15,T,Authentic,F,G+G,Authentic,Authentic+Authentic,F
"DC0221.1: Qu'est-il besoing cercher toutes les nuictz,",DC0221: Qu'est-il besoing cercher toutes les nuictz,4,Ct,Displaced,F,5,B,Authentic,None,F+F,None,Authentic+Authentic,F
"DC0220.8: C'est au Soleil, que la Lune appartient.",DC0220: Qui souhaittez d'avoir tout le plaisir,43,S,None,F,46,T,Authentic,A,None,Plagal,None,F
"DC0220.7: On luy diroit aymez humainement,",DC0220: Qui souhaittez d'avoir tout le plaisir,33,None,None,A,34,None,Plagal,G,F+F,Plagal,Authentic+Authentic,F
"DC0220.6: Voller au ciel, ou mon amour se tient,",DC0220: Qui souhaittez d'avoir tout le plaisir,28,None,Evaded,C,29,None,Plagal,G+F,G,Authentic+Authentic,Plagal,F
DC0220.4: Et vous mirez en mon contentement.,DC0220: Qui souhaittez d'avoir tout le plaisir,19,S,None,G,20,T,Authentic,C,F+C,Authentic,Authentic+Plagal,F
"DC0220.3: Prenez exemple à mon chaste desir,",DC0220: Qui souhaittez d'avoir tout le plaisir,15,Ct,"Displaced, Inverted",C,16,T,Authentic,G,G,Authentic,Authentic,F
"DC0220.2: Qu'un amy peult vouloir honnestement,",DC0220: Qui souhaittez d'avoir tout le plaisir,9,S,None,G,10,T,Authentic,C+C,C,Authentic+Authentic,Authentic,F
"DC0220.1: Qui souhaittez d'avoir tout le plaisir,",DC0220: Qui souhaittez d'avoir tout le plaisir,5,T,"Displaced, Inverted",C,6,Ct,Authentic,None,G,None,Authentic,F
DC0219.8: Digne de toute inimitié.,DC0219: Si pour t'avoir tant loyaument aymée,21,S,None,F,22,T,Authentic,D+D,None,Phrygian+Phrygian,None,F
"DC0219.6: Que commença nostre amytié,",DC0219: Si pour t'avoir tant loyaument aymée,14,B,"Displaced, Inverted, Doubtful",D,15,Ct,Phrygian,F,F,Plagal,Authentic,F
"DC0219.5: Doibz je mauldire la journée,",DC0219: Si pour t'avoir tant loyaument aymée,10,None,None,F,11,None,Plagal,F,D+D,Authentic,Phrygian+Phrygian,F
"DC0219.2: Aymée de faict, et pencée.",DC0219: Si pour t'avoir tant loyaument aymée,7,S,None,F,7,T,Authentic,C+F,F,Authentic+Authentic,Plagal,F
"DC0219.1: Si pour t'avoir tant loyaument,",DC0219: Si pour t'avoir tant loyaument aymée,3,S,Incomplete,C,4,None,Authentic,None,F+F,None,Authentic+Authentic,F
DC0218.10: Car il est suffisant Pour la deffaire.,DC0218: Je souffre passion/ D'une amour forte,37,S,None,F,38,T,Authentic,C,F,Plagal,Authentic,F
"DC0218.9: Parquoy le mesdisant Se peult bien taire,",DC0218: Je souffre passion/ D'une amour forte,33,None,None,C,34,None,Plagal,F+F,F+F,Authentic+Authentic,Authentic+Authentic,F
"DC0218.8: L'ont fait croistre plus fort Luy voulant nuyre,",DC0218: Je souffre passion/ D'une amour forte,30,T,"Displaced, Inverted, Evaded",F,31,Ct,Authentic,D,C,Plagal,Plagal,F
DC0218.7: Ceux qui ont faict effort A la destruire,DC0218: Je souffre passion/ D'une amour forte,25,None,None,D,26,None,Plagal,B-flat,F+F,Authentic,Authentic+Authentic,F
DC0218.6: Veult rompre l'amityé Mais elle augmente.,DC0218: Je souffre passion/ D'une amour forte,21,S,None,B-flat,21,T,Authentic,C+B-flat,D,Authentic+Authentic,Plagal,F
"DC0218.5: L'envie sans pitié Toujours nuysante,",DC0218: Je souffre passion/ D'une amour forte,15,T,Displaced,B-flat,16,B,Authentic,F,C,Authentic,Authentic,F
DC0218.2: Mais mon affection Me reconforte.,DC0218: Je souffre passion/ D'une amour forte,10,S,None,F,11,T,Authentic,F,B-flat,Authentic,Authentic,F
"DC0218.1: Je souffre passion D'une amour forte,",DC0218: Je souffre passion/ D'une amour forte,5,T,"Displaced, Inverted, Evaded",F,5,Ct,Authentic,F,F,CadInCad,Authentic,F
"DC0217.10: Blesser à mort, et guarir la blessure.",DC0217: Ce friant oeil qui toujours estincelle,52,S,None,F,53,T,Authentic,D,None,Plagal,None,F
DC0217.9: Car il peult bien du mesme dard qu'il tyre,DC0217: Ce friant oeil qui toujours estincelle,43,S,Evaded,A,43,T,Phrygian,C+D,F,Authentic+Plagal,Authentic,F
"DC0217.8: Au coeur navré mort langoureuse est seure,",DC0217: Ce friant oeil qui toujours estincelle,38,S,Incomplete,C,39,None,Authentic,C,D+A,Authentic,Plagal+Phrygian,F
"DC0217.7: Mais si un coup son regard il retire,",DC0217: Ce friant oeil qui toujours estincelle,32,S,None,C,32,T,Authentic,C,C,CadInCad,Authentic,F
"DC0217.6: Plus il penettre, et plus fort il martyre:",DC0217: Ce friant oeil qui toujours estincelle,25,S,None,C,26,T,Authentic,G+C,D,Authentic+Authentic,Plagal,F
"DC0217.5: Plus on se tient contre lui sur sa garde,",DC0217: Ce friant oeil qui toujours estincelle,16,S,Evaded,A,17,T,Phrygian,F,F,Authentic,Authentic,F
DC0217.2: Et de costé à demy nous regarde.,DC0217: Ce friant oeil qui toujours estincelle,10,S,None,F,11,T,Authentic,C,A+D,Authentic,Phrygian+Plagal,F
"DC0217.1: Ce friant oeil qui tousjours estincelle,",DC0217: Ce friant oeil qui toujours estincelle,5,Ct,Displaced,C,6,B,Authentic,None,F,None,Authentic,F
DC0216.8: Qu'employer sa langue à mesdire.,DC0216: Allons aux champs sur la verdure,29,S,None,F,30,T,Authentic,C+C,None,Authentic+Authentic,None,F
"DC0216.7: Myeulx vault s'esbatre gayement,",DC0216: Allons aux champs sur la verdure,25,B,"Displaced, Inverted",C,26,Ct,Authentic,C,F,Authentic,Authentic,F
"DC0216.6: Allons chanter, gaudir, et rire,",DC0216: Allons aux champs sur la verdure,23,S,None,C,23,T,Authentic,F+C,C+C,Authentic+Authentic,Authentic+Authentic,F
"DC0216.5: Allons y doncq hastivement,",DC0216: Allons aux champs sur la verdure,17,None,"Displaced, Incomplete",F,18,B,Authentic,F,C+C,Authentic,Authentic+Authentic,F
DC0216.2: Passer le temps joyeusement.,DC0216: Allons aux champs sur la verdure,7,S,Incomplete,F,8,None,Authentic,F+F,F,Authentic+Authentic,Authentic,F
"DC0216.1: Allons aux champs sur la verdure,",DC0216: Allons aux champs sur la verdure,4,B,"Displaced, Inverted",F,5,Ct,Authentic,None,F,None,Authentic,F
DC0215.8: Sur tous voirriez son feu paroistre.,DC0215: Dieu doinct le bon jour à m'amye,29,S,None,F,33,T,Authentic,C,None,Authentic,None,F
DC0215.7: S'il avoit autant de pouvoir,DC0215: Dieu doinct le bon jour à m'amye,23,Ct,Displaced,F,24,B,Authentic,G,C,Authentic,Authentic,F
"DC0215.6: Pour vous faire son coeur congnoistre,",DC0215: Dieu doinct le bon jour à m'amye,20,S,None,G,21,T,Authentic,C,F,Plagal,Authentic,F
"DC0215.5: Voyez comme il faict son devoir,",DC0215: Dieu doinct le bon jour à m'amye,17,None,None,C,18,None,Plagal,F,G,Authentic,Authentic,F
"DC0215.4: C'est vostre amy qui vous vient voir,",DC0215: Dieu doinct le bon jour à m'amye,14,S,None,F,14,T,Authentic,C+F,C,Authentic+Authentic,Plagal,F
"DC0215.2: Que ne veis puis hier au soir,",DC0215: Dieu doinct le bon jour à m'amye,6,T,"Displaced, Inverted, Incomplete",C,7,Ct,CadInCad,F,C,Authentic,Authentic,F
"DC0215.1: Dieu doint le bon jour à m'amye,",DC0215: Dieu doinct le bon jour à m'amye,3,Ct,Displaced,F,3,B,Authentic,F,C,Authentic,CadInCad,F
DC0214.8: Quand son amy en a pitié.,DC0214: Puis que malheur me tient rigueur,27,S,None,F,28,T,Authentic,F,None,Authentic,None,F
"DC0214.7: Un patient prent allegeance,",DC0214: Puis que malheur me tient rigueur,23,T,"Displaced, Inverted, Evaded",F,23,Ct,Authentic,D+F,F,Authentic+CadInCad,Authentic,F
DC0214.6: Du mal que j'ay par amytié.,DC0214: Puis que malheur me tient rigueur,18,Ct,Displaced,D,19,B,Authentic,A,F+F,Authentic,CadInCad+Authentic,F
DC0214.5: Helas ayez intelligence,DC0214: Puis que malheur me tient rigueur,15,S,None,A,15,T,Authentic,F+D,D,Authentic+Plagal,Authentic,F
"DC0214.2: Et seul sçavez mon indigence,",DC0214: Puis que malheur me tient rigueur,8,S,None,F,9,T,Authentic,C,D+A,Authentic,Plagal+Authentic,F
"DC0214.1: Puis que malheur me tient rigueur,",DC0214: Puis que malheur me tient rigueur,3,S,"Displaced, Inverted",C,4,B,Authentic,None,F,None,Authentic,F
DC0213.8: Vous faictes bien de pire attaincte.,DC0213: Cupido pour ses appetitz vers des mouches alla,30,S,,A,31,T,Authentic,G,None,Authentic,None,A
"DC0213.7: Sa mignard dit elle voila,",DC0213: Cupido pour ses appetitz vers des mouches alla,27,B,"Displaced, Inverted",G,28,S,Authentic,E,A,Plagal,Authentic,A
"DC0213.6: Sa mere entend dont vient la plainte,",DC0213: Cupido pour ses appetitz vers des mouches alla,24,None,None,E,25,None,Plagal,A+E+E,G,Plagal+Plagal+Plagal,Authentic,A
"DC0213.5: D'elles est mors il crye hala,",DC0213: Cupido pour ses appetitz vers des mouches alla,18,Ct,None,A,19,B,Plagal,C+C,E+E+E,Authentic+Authentic,Plagal+Plagal+Plagal,A
DC0213.4: Et moult entour d'elles volla.,DC0213: Cupido pour ses appetitz vers des mouches alla,9,S,None,C,14,T,Authentic,G,A,Authentic,Plagal,A
"DC0213.3: Qui cuydoit oyselletz petits,",DC0213: Cupido pour ses appetitz vers des mouches alla,7,Ct,"Displaced, Doubtful",G,9,B,Authentic,A+A+E,C,CadInCad+Authentic+CadInCad,Authentic,A
DC0213.2: Vers des mouches à miel alla.,DC0213: Cupido pour ses appetitz vers des mouches alla,6,S,None,A,7,T,Authentic,None,G,None,Authentic,A
"DC0213.1: Cupido pour ses appetitz,",DC0213: Cupido pour ses appetitz vers des mouches alla,1,B,"Displaced, Inverted",G,4,T,Authentic,None,A,None,CadInCad,A
"DC0212.6: Mieulx eust vallu que du coup fusse morte,",DC0212: Au feu d'amour qui ne se peult estaindre,26,Ct,Displaced,C,26,B,Authentic,G+G+C,None,Authentic+Authentic+Authentic,None,C
"DC0212.5: Helas Amour, quand ton arc fust tendu,",DC0212: Au feu d'amour qui ne se peult estaindre,19,S,None,G,21,T,Authentic,F,C+C,Authentic,Authentic+Authentic,C
"DC0212.2: Brusle mon coeur quasi mort estandu,",DC0212: Au feu d'amour qui ne se peult estaindre,13,S,None,F,14,T,Authentic,C,G+G,Authentic,Authentic+Authentic,C
"DC0212.1: Au feu d'amour, qui ne se peult estaindre,",DC0212: Au feu d'amour qui ne se peult estaindre,6,T,Displaced,F,7,B,Authentic,C+F,C,Authentic+Authentic,Authentic,C
DC0211.8: Qu'à servir L'abbesse de crosse.,DC0211: Ho le meschant qui a ployé,26,S,None,F,28,T,Authentic,F+F,None,Plagal+Plagal,None,F
DC0211.6: C'est faict il est devenu rosse.,DC0211: Ho le meschant qui a ployé,16,None,None,F,17,None,Plagal,F,F+F,Plagal,Authentic+Authentic,F
"DC0211.5: Qu'on n'en parle soir ne matin,",DC0211: Ho le meschant qui a ployé,13,None,None,F,14,None,Plagal,F,F+F,Authentic,Plagal+Plagal,F
DC0211.2: Et rebouché comme un mastin.,DC0211: Ho le meschant qui a ployé,5,None,Incomplete,F,6,None,Authentic,A+A,F,Plagal+Plagal,Plagal,F
"DC0211.1: Ho le meschant qui a ployé,",DC0211: Ho le meschant qui a ployé,4,None,None,A,5,None,Plagal,None,F,None,Authentic,F
DC0210.4: Le plus qu'oncques feust creature.,DC0210: Or my doint Dieu bonne adventure,20,S,None,A,22,T,Authentic,E,None,Phrygian,None,A
DC0210.3: Car je m'en voys bien douloureulx,DC0210: Or my doint Dieu bonne adventure,14,,"Displaced, Incomplete",E,15,B,Phrygian,C+C,A+A,CadInCad+Authentic,Authentic+Authentic,A
DC0210.2: Et a tous loyaulx amoureux:,DC0210: Or my doint Dieu bonne adventure,8,S,None,C,9,T,CadInCad,A,E,Authentic,Phrygian,A
"DC0210.1: Or my doint Dieu bonne adventure,",DC0210: Or my doint Dieu bonne adventure,4,S,None,A,5,T,Authentic,None,C+C,None,CadInCad+Authentic,A
DC0209.4: Pour la douleur qui vif à mort me poingt.,DC0209: Dire me fault par desespoir contrainct,33,S,None,A,36,T,Authentic,C,None,Authentic,None,A
"DC0209.3: Car mon malheur ce pourroit empirer,",DC0209: Dire me fault par desespoir contrainct,26,Ct,Displaced,C,27,T,Authentic,C+C,A+A,Authentic+CadInCad,Authentic+Authentic,A
DC0209.2: Plustost adieu que tel mal endurer,DC0209: Dire me fault par desespoir contrainct,16,S,Displaced,A,18,Ct,Authentic,A+A,C,Authentic+Authentic,Authentic,A
"DC0209.1: Dire me fault par desespoir contrainct,",DC0209: Dire me fault par desespoir contrainct,4,S,None,A,7,T,CadInCad,None,A,None,Authentic,A
DC0208.10: Jouons beau jeu en cortinette.,DC0208: Jouons beau jeu tout en riant,38,S,None,G,39,T,Authentic,B-flat,None,Authentic,None,G
DC0208.9: Disant par amourette:,DC0208: Jouons beau jeu tout en riant,30,S,None,B-flat,31,T,Authentic,F,G,Authentic,Authentic,G
DC0208.8: Gergonnant comme un sansonnet,DC0208: Jouons beau jeu tout en riant,26,B,Incomplete,F,27,None,Authentic,G,B-flat,Authentic,Authentic,G
"DC0208.6: Chantant la chansonnette,",DC0208: Jouons beau jeu tout en riant,22,S,None,G,23,T,Authentic,D,F,Phrygian,Authentic,G
DC0208.5: Mais en beuvant soyons dehet,DC0208: Jouons beau jeu tout en riant,19,B,"Displaced, Inverted, Doubtful",D,19,Ct,Phrygian,G+D,G,Authentic+Phrygian,Authentic,G
DC0208.4: Laissant toute melancholie.,DC0208: Jouons beau jeu tout en riant,13,S,None,G,14,T,Authentic,G,D+D,Authentic,Phrygian+Phrygian,G
DC0208.2: Et si faisons chere lie.,DC0208: Jouons beau jeu tout en riant,7,S,None,G,7,T,Authentic,D+G,G,Phrygian+Authentic,Authentic,G
"DC0208.1: Jouons beau jeu tout en riant,",DC0208: Jouons beau jeu tout en riant,3,B,"Displaced, Inverted",D,4,Ct,Phrygian,None,G+G,None,Authentic+Authentic,G
DC0207.6: Que le seigneur Dieu la parfaict.,"DC0207: Joye et santé, ma demoiselle",20,S,None,B-flat,21,T,Authentic,D,None,Plagal,None,B-flat
DC0207.5: Blonde l'avez en beauté telle,"DC0207: Joye et santé, ma demoiselle",18,None,None,D,19,None,Plagal,G+D,B-flat,Authentic+Authentic,Authentic,B-flat
"DC0207.4: Joye, et santé, madamoyselle ","DC0207: Joye et santé, ma demoiselle",14,S,None,G,15,T,Authentic,D,D+D,Phrygian,Authentic+Plagal,B-flat
"DC0207.3: L’on en veit oncques de si belle,","DC0207: Joye et santé, ma demoiselle",12,S,Evaded,D,13,T,Phrygian,G,G,Authentic,Authentic,B-flat
DC0207.2: De la belle fille qu'avez faict.,"DC0207: Joye et santé, ma demoiselle",7,S,None,D,8,T,Authentic,G,G,Plagal,Authentic,B-flat
"DC0207.1: Joye, et santé, ma damoyselle,","DC0207: Joye et santé, ma demoiselle",5,None,None,G,6,None,Plagal,D,D,Authentic,Authentic,B-flat
DC0206.8: A la quatriesme elle ploya.,DC0206: Ma mère veult que je file,25,S,None,G,26,T,Authentic,D,None,Authentic,None,G
"DC0206.7: Trois point cousi tout d'une esguile,",DC0206: Ma mère veult que je file,23,S,None,D,23,T,Authentic,D+D,G,Authentic+Authentic,Authentic,G
DC0206.6: D'apprendre une oeuvre à l'esguile. ,DC0206: Ma mère veult que je file,16,T,"Displaced, Inverted, Evaded",D,17,Ct,Authentic,B-flat,F,Authentic,Plagal,G
"DC0206.5: L'aultre jour il m'advisa,",DC0206: Ma mère veult que je file,13,S,None,B-flat,14,T,Authentic,G,D+D+F,Authentic,Authentic+Authentic+Plagal,G
DC0206.2: Et si j'ay si grand mal au bra.,DC0206: Ma mère veult que je file,7,S,None,G,8,T,Authentic,D,G,Authentic,Authentic,G
"DC0206.1: Ma mere veult que je file,",DC0206: Ma mère veult que je file,2,S,None,G,3,T,Authentic,None,D+D,None,Authentic+Authentic,G
DC0205.9: Et ma chambriere eut bien faict aultre chose.,DC0205: Un fin mary voyant sa chambriere,48,S,None,G,49,T,Authentic,D,None,Authentic,None,G
"DC0205.8: Ha mon mary je ferois bien cela,",DC0205: Un fin mary voyant sa chambriere,44,B,"Displaced, Inverted",D,45,Ct,Authentic,D,G,Authentic,Authentic,G
"DC0205.7: Estce l'amour qu'avez en moy enclose,",DC0205: Un fin mary voyant sa chambriere,39,S,"Displaced, Evaded",D,39,Ct,Authentic,D+D,D,Authentic+Authentic,Authentic,G
DC0205.6: Qui vous à mis tous deux en ce poinct la?,DC0205: Un fin mary voyant sa chambriere,32,T,"Displaced, Inverted",D,33,Ct,Authentic,D,D,Authentic,Authentic,G
DC0205.4: Monta dessus puis soudain veit venir,DC0205: Un fin mary voyant sa chambriere,20,S,None,D,21,T,Authentic,B-flat+D,D+D,Authentic+Authentic,Authentic+Authentic,G
DC0205.3: Quelque grand faiz en la chambre derriere.,DC0205: Un fin mary voyant sa chambriere,15,S,None,B-flat,15,T,Authentic,G+B-flat,D+D,Authentic+Authentic,Authentic+Authentic,G
"DC0205.2: Belle de corps, et propre à soustenir.",DC0205: Un fin mary voyant sa chambriere,9,S,None,G,9,T,Authentic,D+G,B-flat+B-flat,Plagal+Authentic,Authentic+Authentic,G
"DC0205.1: Un fin mary voyant sa chambriere,",DC0205: Un fin mary voyant sa chambriere,6,None,None,D,6,None,Plagal,G,G+G,Authentic,Authentic+Authentic,G
DC0204.4: Craindre a donner un bien qui nous demeure.,DC0204: Si la beaulté doit perir en peu d'heure,29,S,None,G,32,T,Authentic,B-flat,None,Authentic,None,G
DC0204.3: Ou si elle dure helas vous ne debvez,DC0204: Si la beaulté doit perir en peu d'heure,21,S,None,B-flat,22,T,Authentic,D,G+G,Authentic,Authentic+Authentic,G
DC0204.2: Faictes m'en donc durant que vous l'avez,DC0204: Si la beaulté doit perir en peu d'heure,15,T,"Displaced, Incomplete",D,16,B,Authentic,D,B-flat,Authentic,Authentic,G
"DC0204.1: Si la beaulté doit perir en peu d'heure,",DC0204: Si la beaulté doit perir en peu d'heure,7,S,None,G,8,T,Authentic,None,D,None,Authentic,G
DC0203.10: Qu'on a de mal pour servir Saincte Eglise.,DC0203: Un gros prieur son petit filz baisoit,31,S,None,G,33,T,Authentic,D+D,None,Authentic+Phrygian,None,G
"DC0203.9: Mon Dieu dit il donne moy patience,",DC0203: Un gros prieur son petit filz baisoit,26,B,"Displaced, Inverted",D,27,S,Authentic,D,G+G,Phrygian,Authentic+Authentic,G
DC0203.8: Broc de vin blanc du meilleur qu'on eslise.,DC0203: Un gros prieur son petit filz baisoit,24,Ct,"Displaced, Evaded",D,24,B,Phrygian,A,D,Plagal,Phrygian,G
"DC0203.7: Puis quant il eut prins sur sa conscience,",DC0203: Un gros prieur son petit filz baisoit,22,None,None,A,23,None,Plagal,E,D+D,Phrygian,Phrygian+Phrygian,G
"DC0203.6: La devora bien sçavoit la sçience,",DC0203: Un gros prieur son petit filz baisoit,19,Ct,Displaced,E,20,B,Phrygian,B-flat,A,Authentic,Plagal,G
"DC0203.5: La perdrix vint au sel de brocque en bouche,",DC0203: Un gros prieur son petit filz baisoit,16,S,"Displaced, Evaded",B-flat,16,B,Authentic,G,E,Authentic,Phrygian,G
"DC0203.4: Se leve, crache, esmeutit, et se mouche.",DC0203: Un gros prieur son petit filz baisoit,14,S,None,G,15,T,Authentic,B-flat,B-flat,Authentic,Authentic,G
"DC0203.3: Tandis roustir sa perdrix on faisoit,",DC0203: Un gros prieur son petit filz baisoit,11,S,None,B-flat,12,T,Authentic,G,G,Authentic,Authentic,G
DC0203.2: Et mignardoit au matin en sa couche.,DC0203: Un gros prieur son petit filz baisoit,7,S,None,G,8,T,Authentic,B-flat,B-flat,Authentic,Authentic,G
"DC0203.1: Un gros prieur son petit filz baisoit,",DC0203: Un gros prieur son petit filz baisoit,4,S,None,B-flat,5,T,Authentic,None,G,None,Authentic,G
DC0202.8: Que vous n'avez veu en vostre serf vice.,"DC0202: Vous me changez pour un aultre, madame",27,S,None,D,28,T,Authentic,A,None,Authentic,None,D
DC0202.7: Et si suis seur (tant bien mon faict j'entends),"DC0202: Vous me changez pour un aultre, madame",22,S,None,A,22,T,Authentic,A,D,Authentic,Authentic,D
DC0202.6: Tous mes espritz à vous faire service ,"DC0202: Vous me changez pour un aultre, madame",16,Ct,Displaced,A,18,B,Authentic,D,A,CadInCad,Authentic,D
DC0202.5: Vous scavez bien (las) depuis quant j'estends:,"DC0202: Vous me changez pour un aultre, madame",11,T,"Displaced, Incomplete",F,12,None,Authentic,D+C,D,Authentic+Authentic,CadInCad,D
DC0202.2: Qui ne vous peult servir que pour un temps.,"DC0202: Vous me changez pour un aultre, madame",8,S,None,D,8,T,Authentic,A+D,C+F,Phrygian+Authentic,Authentic+Authentic,D
"DC0202.1: Vous me changez pour un aultre madame,","DC0202: Vous me changez pour un aultre, madame",4,Ct,"Displaced, Doubtful",A,4,B,Phrygian,None,A,None,Phrygian,D
DC0201.4: Souffrir m'est doulx et mon mal j'estime heur.,DC0201: Je me veulx tant a son vouloir offrir,22,S,None,D,23,T,Authentic,D,None,Plagal,None,D
"DC0201.3: Sçachant qu'elle a plaisir me veoir souffrir,",DC0201: Je me veulx tant a son vouloir offrir,16,S,Displaced,F,17,Ct,Authentic,A+A+A+F,D+D,CadInCad+CadInCad+Authentic+CadInCad,Plagal+Plagal,D
DC0201.2: Que je ne quiers remede à ma douleur ,DC0201: Je me veulx tant a son vouloir offrir,11,S,Evaded,A,12,T,CadInCad,D,F+F,Authentic,CadInCad+Authentic,D
"DC0201.1: Je me veulx tant a son vouloir offrir,",DC0201: Je me veulx tant a son vouloir offrir,4,S,None,D,4,T,Authentic,D,A+A+A,Authentic,CadInCad+CadInCad+Authentic,D
DC0125.8: Tu avois estably d'un autre estre amoureuse,DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,47,S,None,G,48,T,Authentic,G,None,Authentic,None,G
"DC0125.7: Mais si par trop d'oubly d'un' offre tant heureuse,",DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,41,S,None,G,42,T,Authentic,G,G,Authentic,Authentic,G
DC0125.6: Que toute ta beaulté pourroit estre estimable.,DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,36,S,None,G,37,T,Authentic,G,G,Authentic,Authentic,G
"DC0125.5: Joinct que ma liberté ne m'est moins aymable,",DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,31,Ct,Displaced,G,32,B,Authentic,A,G,Authentic,Authentic,G
"DC0125.3: Car de moy j'ayme mieulx d'amour quitter l'office,",DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,18,S,None,A,19,T,Authentic,G,G,Authentic,Authentic,G
"DC0125.1: Si ton plus grand desir n'est sinon d'estre tienne,",DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,6,S,None,G,7,T,Authentic,None,A,None,Authentic,G
DC0124.6: Me sert d'experience Pour n'estre jamais prinse.,DC0124: Je sens l'affection/ Qui à moy se vient rendre,26,S,None,G,27,T,Authentic,G,None,Authentic,None,G
"DC0124.5: Mais ceste cognoissance du bien de ma franchise,",DC0124: Je sens l'affection/ Qui à moy se vient rendre,22,Ct,"Displaced, Incomplete",G,23,B,Authentic,G,G,Authentic,Authentic,G
DC0124.4: En plus haut lieu qu'au mien pourroit bien trouver place.,DC0124: Je sens l'affection/ Qui à moy se vient rendre,15,S,None,G,16,T,Authentic,A,G,Authentic,Authentic,G
"DC0124.3: Dont l'honneste maintien d'une si bonne grace,",DC0124: Je sens l'affection/ Qui à moy se vient rendre,9,S,None,A,10,T,Authentic,G,G,Authentic,Authentic,G
"DC0124.1: Je sens l' affection qui à moy se vient rendre,",DC0124: Je sens l'affection/ Qui à moy se vient rendre,5,S,None,G,6,T,Authentic,None,A,None,Authentic,G
DC0123.9: Las messire Jehan vous serrez trop.,DC0123: Puisque fortune mal apprinse,28,S,None,F,29,T,Authentic,C,None,Authentic,None,F
DC0123.7: Criant par trop,DC0123: Puisque fortune mal apprinse,17,S,None,C,18,T,Authentic,F,F,CAD NDLT,Authentic,F
"DC0123.8: Et sans compas,",DC0123: Puisque fortune mal apprinse,13,Ct,,F,13,B,CAD NDLT,F,C,Authentic,Authentic,F
"DC0123.2: A mis sur moy sa destinée,",DC0123: Puisque fortune mal apprinse,8,S,None,F,9,T,Authentic,A,F,Phrygian,CAD NDLT,F
DC0123.1: Puisque fortune mal apprinse,DC0123: Puisque fortune mal apprinse,5,S,Displaced,A,6,B,Phrygian,None,F,None,Authentic,F
DC0122.12: Et par despit la mort prendra la fuyte.,DC0122: Amour et mort par trop grand avantage,58,S,None,F,59,T,Authentic,C,None,CAD NDLT,None,F
DC0122.11: L'amour fera noz deux espritz contens.,DC0122: Amour et mort par trop grand avantage,46,Ct,Displaced,C,47,B,CAD NDLT,A,F,Phrygian,Authentic,F
"DC0122.10: M'ottroyer part digne de la poursuyte,",DC0122: Amour et mort par trop grand avantage,42,S,,A,43,T,Phrygian,G,C,Authentic,CAD NDLT,F
DC0122.9: Mais si voulez du bien que je pretens,DC0122: Amour et mort par trop grand avantage,38,Ct,"Displaced, Evaded",G,39,T,Authentic,F,A,Authentic,Phrygian,F
