composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0413: D'un amy fainct je ne me puis deffaire,CAD NDLT+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,Ct+S,S+S,S+S,S+S,None,None,None,None,None,None,Displaced+None,None+Displaced,Displaced+None,None+None,None,None,None,None,None,None,C+F,F+C,C+F,F+F,None,None,None,None,None,None,None+T,T+Ct,Ct+T,T+T,None,None,None,None,None,None,F,5
"DC0510: J'endure tout, c'est bien raison",Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,S+T,T+,+None,None+S,S+None,None+S,None,None,None,None,"None+Inverted, Evaded, Displaced","Inverted, Evaded, Displaced+None",None+None,None+None,None+None,None+Evaded,None,None,None,None,D+D,D+D,D+D,D+D,D+D,D+G,None,None,None,None,T+Ct,Ct+,+None,None+T,T+None,None+T,None,None,None,None,G,7
"DC0701: Or sus, pas je ne veulx refaire",Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+Ct,Ct+T,T+None,None+S,None,None,None,None,None,None,None+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+None",None+None,None,None,None,None,None,None,A+C,C+D,D+A,A+D,None,None,None,None,None,None,T+T,T+Ct,Ct+None,None+T,None,None,None,None,None,None,D,5
DC0609: Je ne suis devin ne prophète,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None+S,S+S,S+S,S+None,None+S,S+S,None,None,None,None,None+None,None+None,None+Evaded,Evaded+None,None+None,None+None,None,None,None,None,D+G,G+D,D+B-flat,B-flat+G,G+G,G+G,None,None,None,None,None+T,T+T,T+T,T+None,None+T,T+T,None,None,None,None,G,7
DC0411: O vous mes yeulx qui avez incité,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,S+Ct,Ct+S,S+B,B+S,None,None,None,None,None,None,None+Displaced,Displaced+None,"None+Inverted, Displaced","Inverted, Displaced+None",None,None,None,None,None,None,C+C,C+A,A+E,E+C,None,None,None,None,None,None,T+None,None+T,T+Ct,Ct+T,None,None,None,None,None,None,C,5
DC0214: Puis que malheur me tient rigueur,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+Ct,Ct+T,T+S,None,None,None,None,None,"Displaced, Inverted+None",None+None,None+Displaced,"Displaced+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,C+F,F+A,A+D,D+F,F+F,None,None,None,None,None,B+T,T+T,T+B,B+Ct,Ct+T,None,None,None,None,None,F,6
DC0417: Rossignolet qui chante au verd bois,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,Ct+S,S+S,S+T,T+S,S+None,None,None,None,None,None,Displaced+None,None+Incomplete,"Incomplete+Displaced, Inverted, Incomplete, Evaded","Displaced, Inverted, Incomplete, Evaded+Displaced",Displaced+None,None,None,None,None,None,G+C,C+G,G+C,C+G,G+C,None,None,None,None,None,B+T,T+T,T+Ct,Ct+B,B+None,None,None,None,None,None,C,6
DC0608: Qui veult sçavoyr quelle est m'amye,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,S+S,S+None,None+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,G+D,D+D,D+G,None,None,None,None,None,None,None,T+T,T+None,None+T,None,None,None,None,None,None,None,D,4
DC0521: Jehan se jouant un jour avec Jehannette,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None+S,S+S,S+B,B+Ct,Ct+T,T+T,T+S,S+,+S,None,None+None,None+None,"None+Inverted, Evaded, Displaced","Inverted, Evaded, Displaced+Displaced","Displaced+Inverted, Displaced","Inverted, Displaced+Inverted, Evaded, Displaced","Inverted, Evaded, Displaced+None",None+None,None+None,None,E+C,C+C,C+C,C+G,G+G,G+C,C+G,G+C,C+C,None,None+T,T+T,T+S,S+B,B+S,S+Ct,Ct+T,T+,+T,None,C,10
"DC0914: Las, si tu as plaisir en mon ennuy",Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+S,S+S,S+None,None+S,None,None,None,None,None,None,None+None,None+None,None+None,None+None,None,None,None,None,None,None,C+A,A+C,C+E,E+A,None,None,None,None,None,None,T+T,T+T,T+None,None+T,None,None,None,None,None,None,A,5
"DC0305: Sus, sus, ma seur, prendz bon couraige",Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,None,None,None,S+S,S+Ct,Ct+S,S+S,S+S,S+Ct,Ct+S,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,A+D,D+A,A+D,D+A,A+F,F+A,A+D,None,None,None,T+T,T+B,B+T,T+T,T+T,T+B,B+T,None,None,None,D,8
DC0515: Où cerchez-vous du dieu d'amour l'empire,CAD NDLT+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,None,None,None,Ct+S,S+S,S+T,T+Ct,Ct+S,S+T,T+S,None,None,None,Displaced+None,None+None,None+Displaced,Displaced+Displaced,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,C+F,F+G,G+C,C+C,C+F,F+F,F+F,None,None,None,None+T,T+T,T+B,B+T,T+T,T+Ct,Ct+T,None,None,None,F,8
DC0201: Je me veulx tant a son vouloir offrir,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+S,S+S,None,None,None,None,None,None,None,None+Evaded,Evaded+Displaced,Displaced+None,None,None,None,None,None,None,None,D+A,A+F,F+D,None,None,None,None,None,None,None,T+T,T+Ct,Ct+T,None,None,None,None,None,None,None,D,4
DC0221: Qu'est-il besoing cercher toutes les nuictz,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,None,None,None,None,None,Ct+S,S+S,S+Ct,Ct+S,S+T,None,None,None,None,None,Displaced+None,"None+Incomplete, Evaded","Incomplete, Evaded+Displaced, Incomplete","Displaced, Incomplete+None",None+Incomplete,None,None,None,None,None,F+F,F+G,G+C,C+C,C+F,None,None,None,None,None,B+T,T+None,None+T,T+T,T+None,None,None,None,None,None,F,6
DC0424: Si me voyez face triste et dolente,Authentic+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,None,None,None,None,None,Ct+S,S+S,S+Ct,Ct+S,S+S,None,None,None,None,None,"Inverted, Incomplete+None",None+Evaded,Evaded+Displaced,Displaced+None,None+None,None,None,None,None,None,G+G,G+C,C+G,G+A,A+G,None,None,None,None,None,T+T,T+T,T+B,B+T,T+T,None,None,None,None,None,G,6
DC0720: O qui aura sur mon heur advantage,CadInCad+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,Authentic+CadInCad,None,None,None,None,None,Ct+S,S+S,S+S,S+T,T+T,None,None,None,None,None,"Displaced, Inverted+None",None+Displaced,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced, Inverted, Evaded",None,None,None,None,None,C+C,C+G,G+G,G+C,C+C,None,None,None,None,None,S+T,T+B,B+T,T+Ct,Ct+Ct,None,None,None,None,None,C,6
DC0422: Le temps vouldroit de soy trop presumer,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,Ct+S,S+S,S+S,S+Ct,Ct+S,S+None,None+S,None,None,None,"Displaced, Inverted+None",None+None,None+None,None+Displaced,Displaced+None,None+None,None+None,None,None,None,D+G,G+D,D+G,G+D,D+A,A+D,D+G,None,None,None,S+T,T+T,T+T,T+T,T+T,T+None,None+T,None,None,None,G,8
"DC0613: Et vray Dieu, qu'il m'ennuye",Phrygian+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,B+S,S+None,None+S,None,None,None,None,None,None,None,"Displaced, Inverted+None",None+None,None+None,None,None,None,None,None,None,None,D+G,G+D,D+D,None,None,None,None,None,None,None,S+T,T+None,None+T,None,None,None,None,None,None,None,D,4
DC0619: Il n'est que d'estre sur l'herbette,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+S,S+S,None,None,None,None,None,None,None,None,None+None,None+None,None,None,None,None,None,None,None,None,F+G,G+F,None,None,None,None,None,None,None,None,T+T,T+T,None,None,None,None,None,None,None,None,F,3
DC0415: Amour que tu me fais de mal,Authentic+CAD NDLT,CAD NDLT+Plagal,Plagal+CAD NDLT,CAD NDLT+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,T+Ct,Ct+,+Ct,Ct+Ct,Ct+T,T+S,S+S,S+S,None,None,"Inverted, Evaded, Displaced+Displaced",Displaced+None,None+Displaced,Displaced+Displaced,Displaced+None,"None+Displaced, Incomplete","Displaced, Incomplete+None",None+None,None,None,F+C,C+D,D+F,F+F,F+F,F+F,F+C,C+F,None,None,Ct+B,B+,+B,B+B,B+None,None+Ct,Ct+T,T+T,None,None,F,9
DC0115: Quelle prison au monde est plus cruelle,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,B+S,S+S,S+S,S+S,None,None,None,None,None,None,"Inverted, Displaced+None",None+None,None+None,None+None,None,None,None,None,None,None,E+A,A+C,C+E,E+A,None,None,None,None,None,None,Ct+T,T+T,T+T,T+T,None,None,None,None,None,None,A,5
