composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0523: Jamais amour sans guerre n'est parfaict,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,T+S,S+None,None+T,T+S,S+S,S+S,S+S,None,None,None,"Displaced, Inverted+None",None+None,None+Displaced,Displaced+Incomplete,Incomplete+Displaced,Displaced+Evaded,Evaded+None,None,None,None,C+G,G+G,G+C,C+C,C+C,C+C,C+G,None,None,None,Ct+T,T+None,None+B,B+T,T+Ct,Ct+T,T+T,None,None,None,C,8
DC0217: Ce friant oeil qui toujours estincelle,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,Ct+S,S+S,S+S,S+S,S+S,S+S,S+S,None,None,None,Displaced+None,None+Evaded,Evaded+None,None+None,None+Incomplete,Incomplete+Evaded,Evaded+None,None,None,None,C+F,F+A,A+C,C+C,C+C,C+A,A+F,None,None,None,B+T,T+T,T+T,T+T,T+None,None+T,T+T,None,None,None,F,8
DC0320: Un mesnagier qui sa femme accusoit,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,None,None,None,None,None,B+S,S+S,S+Ct,Ct+None,None+,None,None,None,None,None,"Displaced, Inverted+None",None+Displaced,"Displaced+Displaced, Evaded","Displaced, Evaded+None",None+None,None,None,None,None,None,G+G,G+C,C+G,G+E,E+C,None,None,None,None,None,S+T,T+Ct,Ct+T,T+None,None+,None,None,None,None,None,C,6
DC0218: Je souffre passion/ D'une amour forte,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,T+S,S+T,T+S,S+None,None+T,T+None,None+S,None,None,None,"Displaced, Inverted, Evaded+None",None+Displaced,Displaced+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,None,F+F,F+B-flat,B-flat+B-flat,B-flat+D,D+F,F+C,C+F,None,None,None,Ct+T,T+B,B+T,T+None,None+Ct,Ct+None,None+T,None,None,None,F,8
DC0624: Si tu as veu que pour ton feu estaindre,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,T+None,None+T,T+S,None,None,None,None,None,None,None,"Inverted, Evaded+None","None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,None,None,C+G,G+C,C+G,None,None,None,None,None,None,None,S+None,None+Ct,Ct+T,None,None,None,None,None,None,None,G,4
DC0211: Ho le meschant qui a ployé,Plagal+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,None,None+None,None+None,None+None,None+S,None,None,None,None,None,None,None+Incomplete,Incomplete+None,None+None,None+None,None,None,None,None,None,None,A+F,F+F,F+F,F+F,None,None,None,None,None,None,None+None,None+None,None+None,None+T,None,None,None,None,None,None,F,5
DC0311: Un vieil souldard prioit une fillette,Plagal+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,None,None,None,None,None,None+S,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None+None,None+None,None+None,"None+Displaced, Incomplete, Evaded","Displaced, Incomplete, Evaded+None",None,None,None,None,None,D+G,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,None+T,T+T,T+T,T+None,None+T,None,None,None,None,None,G,6
"DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,Ct+S,S+S,S+Ct,Ct+T,T+S,None,None,None,None,None,Displaced+None,None+None,None+Displaced,Displaced+Displaced,Displaced+None,None,None,None,None,None,F+F,F+A,A+C,C+F,F+F,None,None,None,None,None,B+T,T+T,T+T,T+B,B+T,None,None,None,None,None,F,6
DC0620: En amour y a du plaisir,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,None,None+None,None+S,None,None,None,None,None,None,None,None,None+None,None+None,None,None,None,None,None,None,None,None,D+C,C+F,None,None,None,None,None,None,None,None,None+None,None+T,None,None,None,None,None,None,None,None,F,3
DC0406: D'amour me plainctz et du mal que je sens,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,None,+S,S+Ct,Ct+S,S+S,None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None,None,None,None,None,None,D+G,G+A,A+G,G+G,None,None,None,None,None,None,+T,T+B,B+T,T+T,None,None,None,None,None,None,G,5
DC0901: Je ne cognois femme en ceste contrée,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Phrygian,None,None,None,None,None,None,S+S,S+T,T+S,S+S,None,None,None,None,None,None,None+None,None+Displaced,"Displaced+Evaded, Doubtful","Evaded, Doubtful+None",None,None,None,None,None,None,D+A,A+A,A+F,F+E,None,None,None,None,None,None,T+T,T+B,B+T,T+T,None,None,None,None,None,None,E,5
DC0524: Tels menus plaidz conferment les amours,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,S+S,S+T,T+S,S+T,T+T,T+None,None+S,None,None,None,None+None,None+Displaced,Displaced+None,None+Displaced,Displaced+Displaced,Displaced+None,None+None,None,None,None,G+G,G+C,C+C,C+C,C+C,C+C,C+G,None,None,None,T+T,T+B,B+T,T+B,B+B,B+None,None+T,None,None,None,G,8
DC0423: Si j'ay grand desir de la veoir,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+,+S,S+S,None,None,None,None,None,None,None,None+None,"None+Evaded, Displaced, Incomplete","Evaded, Displaced, Incomplete+None",None,None,None,None,None,None,None,G+D,D+C,C+G,None,None,None,None,None,None,None,T+,+Ct,Ct+T,None,None,None,None,None,None,None,G,4
DC0708: Qui la vous faict tant regarder,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Phrygian,Phrygian+Authentic,None,None,None,B+S,S+B,B+B,B+T,T+Ct,Ct+Ct,Ct+S,None,None,None,"Displaced, Inverted, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced",Displaced+Displaced,Displaced+None,None,None,None,D+G,G+A,A+D,D+B-flat,B-flat+D,D+D,D+G,None,None,None,Ct+T,T+S,S+Ct,Ct+Ct,Ct+B,B+B,B+T,None,None,None,G,8
DC0112: Comme l'aymant par sa vertu latente,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+T,T+T,T+S,None,None,None,None,None,None,None+None,"None+Displaced, Incomplete, Evaded","Displaced, Incomplete, Evaded+Displaced",Displaced+None,None,None,None,None,None,None,D+D,D+D,D+F,F+D,None,None,None,None,None,None,T+T,T+Ct,Ct+B,B+T,None,None,None,None,None,None,D,5
"DC0104: Cherchant amour, Hymen vint apparoistre",Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,S+S,S+Ct,Ct+Ct,Ct+S,None,None,None,None,None,None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced",Displaced+None,None,None,None,None,None,None,B-flat+G,G+D,D+D,D+G,None,None,None,None,None,None,T+T,T+S,S+B,B+T,None,None,None,None,None,None,G,5
DC0220: Qui souhaittez d'avoir tout le plaisir,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,T+S,S+Ct,Ct+S,S+None,None+None,None+S,None,None,None,None,"Displaced, Inverted+None","None+Displaced, Inverted","Displaced, Inverted+None",None+Evaded,Evaded+None,None+None,None,None,None,None,C+G,G+C,C+G,G+C,C+A,A+F,None,None,None,None,Ct+T,T+T,T+T,T+None,None+None,None+T,None,None,None,None,F,7
DC0902: Faisons le dire mensonger,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+S,S+S,None,None,None,None,None,None,None,Displaced+Displaced,Displaced+Evaded,Evaded+None,None,None,None,None,None,None,None,A+A,A+F,F+D,None,None,None,None,None,None,None,Ct+Ct,Ct+T,T+T,None,None,None,None,None,None,None,D,4
DC0907: Je suis honteux et n'ose descouvrir,Authentic+Authentic,Authentic+Phrygian,None,None,None,None,None,None,None,None,S+S,S+Ct,None,None,None,None,None,None,None,None,None+None,None+Displaced,None,None,None,None,None,None,None,None,G+D,D+D,None,None,None,None,None,None,None,None,T+T,T+B,None,None,None,None,None,None,None,None,D,3
"DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",Phrygian+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,S+S,S+T,T+None,None+None,None+S,None,None,None,None,None,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None+None,None,None,None,None,None,A+D,D+G,G+D,D+D,D+G,None,None,None,None,None,B+T,T+Ct,Ct+None,None+None,None+T,None,None,None,None,None,G,6
DC0421: Une safrette safrettant,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+S,S+T,T+S,None,None,None,None,None,None,None+None,None+None,"None+Displaced, Evaded, Inverted","Displaced, Evaded, Inverted+None",None,None,None,None,None,None,G+G,G+E,E+C,C+G,None,None,None,None,None,None,T+T,T+T,T+Ct,Ct+T,None,None,None,None,None,None,G,5
DC0110: Si la promesse m'est tenue,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,G+D,D+B-flat,B-flat+G,None,None,None,None,None,None,None,T+T,T+T,T+T,None,None,None,None,None,None,None,G,4
DC0607: Si m'amie a de fermeté,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,B+S,S+S,S+None,None+S,S+S,None,None,None,None,None,"Displaced, Inverted+None",None+None,None+None,None+Evaded,Evaded+None,None,None,None,None,None,B-flat+G,G+B-flat,B-flat+D,D+B-flat,B-flat+G,None,None,None,None,None,S+T,T+T,T+None,None+T,T+T,None,None,None,None,None,G,6
"DC0202: Vous me changez pour un aultre, madame",Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,Ct+S,S+T,T+Ct,Ct+S,S+S,None,None,None,None,None,"Displaced, Doubtful+None","None+Displaced, Incomplete","Displaced, Incomplete+Displaced",Displaced+None,None+None,None,None,None,None,None,A+D,D+F,F+A,A+A,A+D,None,None,None,None,None,B+T,T+None,None+B,B+T,T+T,None,None,None,None,None,D,6
DC0204: Si la beaulté doit perir en peu d'heure,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+T,T+S,S+S,None,None,None,None,None,None,None,"None+Displaced, Incomplete","Displaced, Incomplete+None",None+None,None,None,None,None,None,None,None,G+D,D+B-flat,B-flat+G,None,None,None,None,None,None,None,T+B,B+T,T+T,None,None,None,None,None,None,None,G,4
DC0517: Un jour dormoit Colin en my des prez,CAD NDLT+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,Authentic+Authentic,None,Ct+Ct,Ct+S,S+S,S+None,None+S,S+S,S+Ct,Ct+S,S+S,None,Displaced+Displaced,Displaced+Evaded,Evaded+None,None+None,"None+Evaded, Incomplete","Evaded, Incomplete+Incomplete",Incomplete+Displaced,Displaced+Incomplete,Incomplete+None,None,F+F,F+C,C+F,F+G,G+C,C+C,C+F,F+C,C+F,None,B+B,B+T,T+T,T+None,None+T,T+T,T+B,B+T,T+T,None,F,10
DC0303: Si mon grand mal ne peult finir,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+S,S+T,T+S,None,None,None,None,None,None+None,None+None,None+None,None+Inverted,Inverted+None,None,None,None,None,None,F+D,D+A,A+F,F+D,D+D,None,None,None,None,None,T+T,T+T,T+T,T+S,S+T,None,None,None,None,None,D,6
"DC0207: Joye et santé, ma demoiselle",Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None+S,S+S,S+S,S+None,None+S,None,None,None,None,None,None+None,None+Evaded,Evaded+None,None+None,None+None,None,None,None,None,None,G+D,D+D,D+G,G+D,D+B-flat,None,None,None,None,None,None+T,T+T,T+T,T+None,None+T,None,None,None,None,None,B-flat,6
DC0101: Qui souhaitez avoir tout le plaisir,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,S+S,S+T,T+S,S+Ct,Ct+S,None,None,None,None,None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+Displaced,Displaced+None,None,None,None,None,None,A+D,D+D,D+A,A+A,A+D,None,None,None,None,None,T+T,T+Ct,Ct+T,T+B,B+T,None,None,None,None,None,D,6
DC0109: Mars et Amour font ensemble alliance,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+Ct,Ct+S,S+Ct,Ct+S,None,None,None,None,None,Incomplete+None,None+Displaced,Displaced+None,"None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,B-flat+G,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,T+T,T+B,B+T,T+S,S+T,None,None,None,None,None,G,6
DC0208: Jouons beau jeu tout en riant,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,B+S,S+S,S+B,B+S,S+B,B+S,S+S,None,None,None,"Displaced, Inverted+None",None+None,"None+Displaced, Inverted, Doubtful","Displaced, Inverted, Doubtful+None",None+Incomplete,Incomplete+None,None+None,None,None,None,D+G,G+G,G+D,D+G,G+F,F+B-flat,B-flat+G,None,None,None,Ct+T,T+T,T+Ct,Ct+T,T+None,None+T,T+T,None,None,None,G,8
DC0726: Robin couché à mesme terre,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+None,None+Ct,Ct+S,None,None,None,None,None,None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,None,F+C,C+C,C+C,C+C,None,None,None,None,None,None,T+T,T+None,None+T,T+T,None,None,None,None,None,None,C,5
DC0309: Belle comere Dieu vous gard,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,Ct+S,S+Ct,Ct+S,S+Ct,Ct+S,None,None,None,None,None,Displaced+None,None+Displaced,Displaced+None,None+Displaced,Displaced+None,None,None,None,None,None,D+G,G+F,F+G,G+D,D+G,None,None,None,None,None,B+T,T+B,B+T,T+B,B+T,None,None,None,None,None,G,6
"DC0908: Las, si amour nouveau conseil n'apporte",Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+S,S+Ct,None,None,None,None,None,None,None,None,None+Incomplete,Incomplete+Displaced,None,None,None,None,None,None,None,None,G+D,D+B-flat,None,None,None,None,None,None,None,None,T+T,T+B,None,None,None,None,None,None,None,None,B-flat,3
DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,None,None,None,None,S+S,S+S,S+S,S+,+S,S+None,None,None,None,None,Displaced+Displaced,Displaced+Displaced,Displaced+Displaced,Displaced+None,None+None,None+None,None,None,None,None,D+D,D+D,D+B-flat,B-flat+D,D+D,D+G,None,None,None,None,Ct+Ct,Ct+Ct,Ct+Ct,Ct+,+T,T+None,None,None,None,None,D,7
DC0402: Quand suis au lict pour prendre mon repos,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+None,None+T,T+S,None,None,None,None,None,None+None,"None+Inverted, Evaded","Inverted, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,D+G,G+C,C+D,D+D,D+G,None,None,None,None,None,T+T,T+T,T+None,None+Ct,Ct+T,None,None,None,None,None,G,6
DC0215: Dieu doinct le bon jour à m'amye,Authentic+CadInCad,CadInCad+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,Ct+T,T+S,S+None,None+S,S+Ct,Ct+S,None,None,None,None,"Displaced+Displaced, Inverted, Incomplete","Displaced, Inverted, Incomplete+None",None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,F+C,C+F,F+C,C+G,G+F,F+F,None,None,None,None,B+Ct,Ct+T,T+None,None+T,T+B,B+T,None,None,None,None,F,7
DC0314: Ma bouche n'ose dire/ Mon apparent desir,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None+S,S+S,S+None,None+T,T+S,None,None,None,None,None,None+None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,D+G,G+F,F+D,D+B-flat,B-flat+G,None,None,None,None,None,None+T,T+T,T+None,None+B,B+T,None,None,None,None,None,G,6
"DC0419: Veoir, deviser et converser",Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,Displaced+None,None+Evaded,Evaded+Displaced,Displaced+Displaced,None,None,None,None,None,None,F+G,G+F,F+C,C+F,None,None,None,None,None,None,T+T,T+T,T+B,B+T,None,None,None,None,None,None,F,5
